Name,From,To,Country,Type,Unit,SpecificWeight,Volume,N,Norg,Nmin,N-slow,N-ureum,NH4,NO3,N-Amide,P2O5,K2O,MgO,CaO,SO3,Na2O,Cl,Cu,Co,B,Mo,Fe,Mn,Zn,SiO2,Se,Pb,CODE_NL_CL022
Ammoniumnitraat vloeibaar,,,NL,MAN,LIT,1.24,,18,,,,,,,,,,,,,,,,,,,,,,,,,2100
Chilisalpeter,,,NL,MAN,KG,,,16,,,,,,,,,,,,,35,,,,0.2,,,,,,,,2101
KAS 27 (Kalkammonsalpeter),,,NL,MAN,KG,,,27,,,,,,,,,,,12,,,,,,,,,,,,,,2102
Magnesamon (MAS),,,NL,MAN,KG,,,22,,,,,,,,,,7,10.5,,,,,,,,,,,,,,2103
Urean 30 N,,,NL,MAN,LIT,1.32,,30,,,,,,,,,,,,,,,,,,,,,,,,,2104
Ureum gegranuleerd,,,NL,MAN,KG,,,46,,,,,,,,,,,,,,,,,,,,,,,,,2105
Ureum oplossing 18.4%,,,NL,MAN,LIT,1.1,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,2106
Vloeibare ammoniak,,,NL,MAN,LIT,0.62,,82,,,,,,,,,,,,,,,,,,,,,,,,,2107
Zwavelzure ammoniak,,,NL,MAN,KG,,,21,,,,,,,,,,,,60,,,,,,,,,,,,,2108
Superfosfaat,,,NL,MAN,KG,,,,,,,,,,,19,,,25,32,,,,,,,,,,,,,2109
Tripelsuperfosfaat,,,NL,MAN,KG,,,,,,,,,,,45,,,19,5,,,,,,,,,,,,,2110
Kali 60,,,NL,MAN,KG,,,,,,,,,,,,60,,,,,47.3,,,,,,,,,,,2111
Kaliumsulfaat (standaard),,,NL,MAN,KG,,,,,,,,,,,,50,0.12,1.26,45,0.95,2.5,0.001,,,,0.04,,0.001,,,,2112
Korn-Kali,,,NL,MAN,KG,,,,,,,,,,,,40,6,,12,4,36,,,,,,,,,,,2113
Patentkali,,,NL,MAN,KG,,,,,,,,,,,,30,10,,42,,2.7,,,,,,,,,,,2114
Ammonium-polyfosfaat,,,NL,MAN,LIT,1.38,,10,,,,,,,,34,,0.5,0.2,0.4,,,,,,,0.3,,,,,,2115
NP 18+46 (DAP),,,NL,MAN,KG,,,18,,,,,,,,46.2,,0.8,0.1,3.8,0.1,,,,,,0.8,,,,,,2116
NP 20+34,,,NL,MAN,KG,,,20,,,,,,,,34,,,,,,,,,,,,,,,,,2117
NP 23+23,,,NL,MAN,KG,,,23,,,,,,,,23,,,,,,,,,,,,,,,,,2118
NP 26+14,,,NL,MAN,KG,,,26,,,,,,,,14,,,,,,,,,,,,,,,,,2119
NP 26+7,,,NL,MAN,KG,,,26,,,,,,,,7,,,,,,,,,,,,,,,,,2120
NPK 12+10+18,,,NL,MAN,KG,,,12,,,,,,,,10,18,,7.5,23.2,,2,,,,,,,,,,,2121
NPK 15+12+24,,,NL,MAN,KG,,,15,,,,,,,,12,24,,,1,,,,,,,,,,,,,2122
NPK 15+15+15,,,NL,MAN,KG,,,15,,,,,,,,15,15,,,4,,,,,,,,,,,,,2123
NPK 17+17+17,,,NL,MAN,KG,,,17,,,,,,,,17,17,,,1,,,,,,,,,,,,,2124
NPK 7+14+28,,,NL,MAN,KG,,,7,,,,,,,,14,28,,,25,,,,,,,,,,,,,2125
Kalisalpeter,,,NL,MAN,KG,,,13,,,,,,,,,45,,,,0.67,0.7,,,,,,,,,,,2126
Multi-K,,,NL,MAN,KG,,,13,,,,,,,,,46,,,,,,,,,,,,,,,,2127
Multi-K Mg,,,NL,MAN,KG,,,12,,,,,,,,,42,2,,,,,,,,,,,,,,,2128
Multi-K Mg (1-0-2),,,NL,MAN,KG,,,13,,,,,,,,,26,4,,,,,,,,,,,,,,,2129
Borax (decahydraat),,,NL,MAN,KG,,,,,,,,,,,,,,,0,,0.0001,,,11.3,,0,,,,,,2130
Esta kieseriet+D98,,,NL,MAN,KG,,,,,,,,,,,,,25,,50,,1.5,,,,,,,,,,,2131
Landbouwzout,,,NL,MAN,KG,,,,,,,,,,,,,0.17,5.6,0.1,50,59.9,,,,,0.2,,,,,,2132
Mais-MAP 0,,,NL,MAN,KG,,,20,,,,,,,,,,,,,,,,,0.1,,,,,,,,2133
Mais-MAP 20,,,NL,MAN,KG,,,20,,,,,,,,20,,,,,,,,,0.2,,,,,,,,2134
Mais-MAP 40,,,NL,MAN,KG,,,20,,,,,,,,40,,,,,,,,,0.2,,,,,,,,2135
Mangaansulfaat,,,NL,MAN,KG,,,,,,,,,,,,,,,,,0.02,,,,,0.005,31,,,,,2139
Nakamag,,,NL,MAN,KG,,,,,,,,,,,,11,5,,10,26.9,44,,,,,,,,,,,2140
Tropicote (Kalksalpeter),,,NL,MAN,KG,,,15.5,,,,,,,,,,,26.3,,,,,,,,,,,,,,2141
Optimag,,,NL,MAN,KG,,,20,,,,,,,,,,10,,10,,,,,,,,,,,,,2143
KAS 27% + 4% MgO,,,NL,MAN,KG,,,27,,,,,,,,,,4,6,,,,,,,,,,,,,,2144
NPK 26+0+0,,,NL,MAN,KG,,,26,,,,,,,,,,,,,,,,,,,,,,,,,2145
Ammonsulfaatsalpeter (ASS),,,NL,MAN,KG,,,26,,,,,,,,,,0.3,,35,,,,,,,0.05,,,,,,2146
Mas-super,,,NL,MAN,KG,,,22,,,,,,,,,,7,,,,,,,,,,,,,,,2147
Thomasmeel,,,NL,MAN,KG,,,,,,,,,,,11,,,,,,,,,,,,,,,,,2149
Zacht natuurfosfaat,,,NL,MAN,KG,,,,,,,,,,,27,,,37,,,,,,,,,,,,,,2150
Ruw kalizout,,,NL,MAN,KG,,,,,,,,,,,,15,,,,10,,,,,,,,,,,,2151
Ruw kaliumnatriumzout,,,NL,MAN,KG,,,,,,,,,,,,15,,,,10,,,,,,,,,,,,2152
NP 12+54 (MAP),,,NL,MAN,KG,,,12,,,,,,,,54,,,,,,,,,,,,,,,,,2153
NP 20+20 + 4MgO,,,NL,MAN,KG,,,20,,,,,,,,20,,4,,,,,,,,,,,,,,,2154
NP 11+52 + 0.1B,,,NL,MAN,KG,,,11,,,,,,,,52,,,,,,,,,0.1,,,,,,,,2155
Mono-ammoniumfosfaat,,,NL,MAN,KG,,,10,,,,,,,,50.2,,0.8,0.1,2,0.7,,,,,,0.7,,,,,,2156
NPK 22+6+0+8MgO+16SO3,,,NL,MAN,KG,,,22,,,,,,,,6,,8,,16,,,,,,,,,,,,,2157
NPK 16+10+20 chloorarm,,,NL,MAN,KG,,,16,,,,,,,,10,20,,,17,,,,,,,,,,,,,2158
NPK 14+14+14 chloorarm,,,NL,MAN,KG,,,14,,,,,,,,14,14,,,,,,,,,,,,,,,,2159
NPK 16+8+14+4MgO chloorarm,,,NL,MAN,KG,,,16,,,,,,,,8,14,4,,,,,,,,,,,,,,,2160
NPK 12+5+18+5 MgO,,,NL,MAN,KG,,,12,,,,,,,,5,18,5,,,,,,,,,,,,,,,2161
NPK 20+10+10,,,NL,MAN,KG,,,20,,,,,,,,10,10,,,4,,,,,,,,,,,,,2162
PK 25+25,,,NL,MAN,KG,,,,,,,,,,,25,25,,14.5,4,,,,,,,,,,,,,2164
PK 15+30,,,NL,MAN,KG,,,,,,,,,,,15,30,,15.3,6,,,,,,,,,,,,,2165
Monokaliumfosfaat (MKP),,,NL,MAN,KG,,,,,,,,,,,52,34,,,,,,,,,,,,,,,,2166
PK 20+30,,,NL,MAN,KG,,,,,,,,,,,20,30,,,2,,,,,,,,,,,,,2167
PK 14+24,,,NL,MAN,KG,,,,,,,,,,,14,24,,19.4,16.5,,,,,,,,,,,,,2168
PK 19+19 chloorarm,,,NL,MAN,KG,,,,,,,,,,,19,19,,,,,,,,,,,,,,,,2171
PK 10+25,,,NL,MAN,KG,,,,,,,,,,,10,25,,,,,,,,,,,,,,,,2172
NP 24+14,,,NL,MAN,KG,,,24,,,,,,,,14,,,,,,,,,,,,,,,,,2173
NP 26+26,,,NL,MAN,KG,,,26,,,,,,,,26,,,,,,,,,,,,,,,,,2174
Sulfamag,,,NL,MAN,KG,,,,,,,,,,,,,35,,36.8,,,,,,,,,,,,,2176
Graszout Groen,,,NL,MAN,KG,,,,,,,,,,,,,,,,47.5,54.5,3.5,,,,,,,,,,2177
Graszout Rood,,,NL,MAN,KG,,,,,,,,,,,,,,,,50,57.1,,0.3,,,,,,,,,2178
Calciumchloride,,,NL,MAN,LIT,1.3,,,,,,,,,,,,,16.6,,,21.1,,,,,,,,,,,2179
Dynamon S,,,NL,MAN,KG,,,24,,,,,,,,,,,10.5,15,,,,,,,,,,,,,2180
Calsal (akkerbouw),,,NL,MAN,LIT,1.5,,8.7,,,,,,,,,,,17.5,,,,,,,,,,,,,,2181
Chili borium plus,,,NL,MAN,KG,,,16,,,,,,,,,,,,,35,,,,0.2,,,,,,,,2182
Entec 26,,,NL,MAN,KG,,,26,,,,,,,,,,,,32.5,,,,,,,,,,,,,2183
KAS 24 Zwavel 15 SO3,,,NL,MAN,KG,,,24,,,,,,,,,,,,15,,,,,,,,,,,,,2184
NTS 27N,,,NL,MAN,LIT,1.3,,27,,,,,,,,,,,,7.5,,,,,,,,,,,,,2186
NTS 24N,,,NL,MAN,LIT,,,24,,,,,,,,,,,,15,,,,,,,,,,,,,2187
Bortrac 150,,,NL,MAN,LIT,1.365,,,,,,,,,,,,,,,,,,,11,,,,,,,,2200
Fertichel Borium,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,,,10,,,,,,,,2201
Maneltra Borium,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,15,,,,,,,,2202
Solubor DF,,,NL,MAN,KG,,,,,,,,,,,,,,,,10,,,,17.4,,,,,,,,2203
Top Trace Borium,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,2204
Wuxal Borium extra WP,,,NL,MAN,LIT,1.35,,8,,,,,,,,10,,,,,,,,,7,,,0.05,,,,,2205
Hydrophos,,,NL,MAN,LIT,1.479,,,,,,,,,,29.7,5,6.8,,,,,,,,,,,,,,,2206
Bitterzout EPSO Top,,,NL,MAN,KG,,,,,,,,,,,,,16,,32,,,,,,,,,,,,,2207
Chelal Mg vloeibaar,,,NL,MAN,LIT,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,2208
Fertichel Magnesium,,,NL,MAN,LIT,1.256,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,2209
Hydromag 500,,,NL,MAN,LIT,1.517,,,,,,,,,,,,33,,,,,,,,,,,,,,,2210
Luxan Magnesiumchelaat-EDTA 2.5%,,,NL,MAN,LIT,,,,,,,,,,,,,4.15,,,,,,,,,,,,,,,2211
Top Trace Magnesiumchelaat,,,NL,MAN,LIT,1.2,,,,,,,,,,,,5,,,,,,,,,,,,,,,2212
Top Trace Magnesiumnitraat,,,NL,MAN,LIT,1.35,,7,,,,,,,,,,10,,,,,,,,,,,,,,,2213
Chelal Mn vloeibaar,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,9,,,,,2215
Fertichel Mangaan,,,NL,MAN,LIT,1.2,,,,,,,,,,,,,,,,,,,,,,5,,,,,2216
Luxan Mangaanchelaat-EDTA 5%,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2217
Mangaan Vloeibaar extra,,,NL,MAN,LIT,1.55,,7.7,,,,,,,,,,,,,,,,,,,,15,,,,,2218
Mantrac 500,,,NL,MAN,LIT,1.826,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,2219
Mantrilon FL,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,,,,,,6,,,,,2220
Top Trace Mangaanchelaat,,,NL,MAN,LIT,1.2,,,,,,,,,,,,,,,,,,,,,,5,,,,,2221
Top Trace Mangaannitraat,,,NL,MAN,LIT,1.48,,6.9,,,,,,,,,,,,,,,,,,,,13.5,,,,,2222
Wuxal Suspensie Mangaan,,,NL,MAN,LIT,1.3,,10,,,,,,,,,,3,,,,,,,,,,6,,,,,2223
Polyfeed Duetto,,,NL,MAN,KG,,,20,,,,,,,,,33,,,,,,0.07,,0.035,0.0033,,0.02,0.01,,,,2224
Seniphos,,,NL,MAN,LIT,1.312,,3,,,,,,,,23.6,,,4.3,,,,,,,,,,,,,,2225
Magnesiumnitraat,,,NL,MAN,LIT,1.35,,7,,,,,,,,,,10,,,,,,,,,,,,,,,2226
Solafos,,,NL,MAN,LIT,,,10,,,,,,,,34,,,,,,,,,,,,,,,,,2227
Magnesiumsulfaat,,,NL,MAN,LIT,1.23,,,,,,,,,,,,7,,14,,,,,,,,,,,,,2228
Rundveemest vast,,,NL,MOR,TON,0.9,,6.3,4.85,1.45,,,,,,3.7,8.1,2.1,,0.24,0.9,,,,,,,,,,,,2300
Rundveegier,,,NL,MOR,TON,1.3,,4.1,0.2027,3.8973,,,,,,2,8,0.2,,0.8,1,,,,,,,,,,,,2303
Vleeskalveren drijfmest (witvlees),,,NL,MOR,TON,,,2.8,0.56,2.24,,,,,,1.5,4.35,1.3,,0.72,,,,,,,,,,,,,2304
Fokzeugen/biggendrijfmest,,,NL,MOR,TON,,,5.1,2.04,3.06,,,,,,3.1,4.05,1.1,,0.36,0.6,,,,,,,,,,,,2308
Legkippenmest rooster,,,NL,MOR,TON,0.65,,25,22.5,2.5,,,,,,26.8,12.7,4.9,,2.4,1.5,,,,,,,,,,,,2310
Vleeskuikenmest vast,,,NL,MOR,TON,0.65,,32.6,267.275,5.8725,,,,,,17.7,20.75,6.5,,3.6,3,,,,,,,,,,,,2313
Vleeskalkoenenmest,,,NL,MOR,TON,0.535,,25.9,19.2,6.7,,,,,,21,17.1,6.3,,3.8,7.3,,,,,,,,,,,,2315
Paardenmest vast,,,NL,MOR,TON,0.7,,5,4,1,,,,,,3,5.5,1.8,,,,,,,,,,,,,,,2317
Nertsenmest vast,,,NL,MOR,TON,0.7,,34.2,14.7085,19.4915,,,,,,35.8,2,2.2,,3.72,5.1,,,,,,,,,,,,2318
Vossenmest vast,,,NL,MOR,TON,0.7,,37.2,15.9852,21.2148,,,,,,27.4,2.7,2.2,,3.72,5.1,,,,,,,,,,,,2319
Konijnenmest,,,NL,MOR,TON,0.6,,12.9,9.8,3.1,,,,,,12.4,11,5.7,,0.24,2.2,,,,,,,,,,,,2320
Schapenmest stro,,,NL,MOR,TON,0.7,,8.3,6.3876,1.9124,,,,,,4.6,18,2.8,,0.24,2.3,,,,,,,,,,,,2322
Geitenmest vast,,,NL,MOR,TON,0.8,,9.6,6.6234,2.9766,,,,,,5.2,10.6,3.5,,0.24,1.9,,,,,,,,,,,,2323
Eendenmest vast,,,NL,MOR,TON,0.9,,9.1,6.75,2.35,,,,,,8.5,7,1.6,,3.8,0.8,,,,,,,,,,,,2325
Eendendrijfmest,,,NL,MOR,TON,,,6.2,2.6671,3.5329,,,,,,4.7,7,2.2,,0.88,0.9,,,,,,,,,,,,2326
Rundveemest filtraat,,,NL,MOR,TON,1.3,,4.1,0.2064,3.8936,,,,,,2,6.8,0.2,,0.8,1,,,,,,,,,,,,2327
Rundveemest koek,,,NL,MOR,TON,,,19.9,15.2813,4.6187,,,,,,13.9,5.2,2.1,,0.24,0.9,,,,,,,,,,,,2328
Runderdrijfmest,,,NL,MOR,TON,1.5,,4.5,21.136,23.864,,,,,,1.9,6.3,1.3,,0.72,0.8,,,,,,,,,,,,2329
Runderdrijfmest (16),,,NL,MOR,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330
Vleeskalveren drijfmest (rosevlees),,,NL,MOR,TON,,,5.1,1.02,4.08,,,,,,2.3,4.9,1.3,,0.72,,,,,,,,,,,,,2331
Legkippendrijfmest,,,NL,MOR,TON,1.2,,10.4,4.4727,5.9273,,,,,,7,5.6,2.2,,0.88,0.9,,,,,,,,,,,,2335
Legkippenmest vast,,,NL,MOR,TON,0.65,,28.5,25.6536,2.8464,,,,,,28.8,23.8,4.9,,2.4,1.5,,,,,,,,,,,,2337
Legkippenmest,,,NL,MOR,TON,0.65,,25.7,23.1338,2.5662,,,,,,19.8,15.45,4.9,,2.4,1.5,,,,,,,,,,,,2340
Legkippenmest nagedroogd,,,NL,MOR,TON,0.65,,36.5,32.8488,3.6512,,,,,,28.2,21.45,4.9,,2.4,1.5,,,,,,,,,,,,2341
Varkensmest vast,,,NL,MOR,TON,0.8,,10.8,8.64,2.16,,,,,,10.7,8.65,2.5,,0.24,1,,,,,,,,,,,,2352
Varkensgier,,,NL,MOR,TON,1.1,,3.9,0.19,3.71,,,,,,1.1,4.5,0.2,,0.72,0.2,,,,,,,,,,,,2354
Varkensmest filtraat,,,NL,MOR,TON,1.1,,4.7,0.2371,4.4629,,,,,,1.1,4.2,0.2,,0.72,0.2,,,,,,,,,,,,2356
Varkensmest koek,,,NL,MOR,TON,,,18.7,14.9752,3.7248,,,,,,19.5,3.5,2.5,,0.24,1,,,,,,,,,,,,2358
Vl.varkensdrijfmest,,,NL,MOR,TON,1.4,,6.8,2.86,3.94,,,,,,3.9,7.2,1.8,,0.64,0.9,,,,,,,,,,,,2367
Nertsendrijfmest,,,NL,MOR,TON,,,9.6,4.52,5.08,,,,,,6,2,1.3,,0.72,0.8,,,,,,,,,,,,2372
Konijnengier,,,NL,MOR,TON,,,,,,,,,,,,5,0.2,,0.8,1,,,,,,,,,,,,2373
Konijnendrijfmest,,,NL,MOR,TON,,,5.1,2.55,2.55,,,,,,4.1,11,5.7,,0.24,2.2,,,,,,,,,,,,2374
Parelhoendersmest,,,NL,MOR,TON,0.6,,32.6,29.34,3.26,,,,,,17.7,18.5,4.8,,2.2,1,,,,,,,,,,,,2375
Biet-vinasse,,,NL,MOR,TON,,,,,,,,,,,,80,,,,,,,,,,,,,,,,2400
Champost,,,NL,MOR,TON,,,6.9,6.55,0.35,,,,,,4.1,5,2.5,45,13.6,1,,0.0086,,,,,,0.035,,,,2401
GFT-Landbouwcompost,,,NL,MOR,TON,,,8.7,7.8,0.9,,,,,,4.6,8.1,2.4,10.9,,,,0.0332,,,,,,0.113,,,,2402
Lotusvinasse,,,NL,MOR,TON,,,40,,,,,,,,5,250,,,,,,,,,,,,,,,,2403
Protamylasse,,,NL,MOR,TON,,,30,5,25,,,,,,15,90,,,,,5,,,,,,,,,,,2404
Recykal SF,,,NL,MOR,TON,,,50,50,,,,,,,15,90,,5,,5,4,,,,,,,,,,,2405
Vinasse,,,NL,MOR,TON,,,,,,,,,,,,430,,,,,,,,,,,,,,,,2406
Vinasse-Extract,,,NL,MOR,TON,,,,,,,,,,,,400,,,,,,,,,,,,,,,,2407
Vinassekali chloorarm,,,NL,MOR,TON,,,38,38,,,,,,,5,100,1,5,17,19,12,,,,,,,,,,,2408
Vinassekali-SF chloorarm,,,NL,MOR,TON,,,8,8,,,,,,,5,250,,105,413,8,1.1,,,,,,,,,,,2409
Vinassekali-SFL chloorarm,,,NL,MOR,TON,,,22,22,,,,,,,5,260,,20,333,65,6,,,,,,,,,,,2410
Zuiveringsslib vast,,,NL,MOR,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411
Zuiveringsslib vloeibaar,,,NL,MOR,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412
NatuKali,,,NL,MOR,TON,1.8,,4,3,1,,,,,,2,50,0.4,,30,15,,,,,,,,,,,,2413
Agrakalk 23+4,,,NL,KLK,KG,,,0.14,,,,,,,,0.38,0.05,4,,,,,,,,,,,,,,,2500
Betacal-Carbo,,,NL,KLK,KG,,,0.325,,,,,,,,1.15,0.11,1.1,29,0.7,0.027,,,,0.0005,,0.2,0.015,0.005,,,,2501
Betacal-Filter,,,NL,KLK,KG,,,0.275,,,,,,,,0.975,0.09,0.9,24,0.6,0.023,,,,0.004,,0.17,0.013,0.004,,,,2502
Betacal-Flow,,,NL,KLK,KG,,,0.225,,,,,,,,0.8,0.08,0.8,20,0.5,0.02,,,,0.0003,,0.14,0.01,0.003,,,,2503
Borgakal,,,NL,KLK,KG,,,,,,,,,,,,,7,41,,,,,,,,,,,,,,2504
Borium-Kencica,,,NL,KLK,KG,,,5,,,,,,,,,,5,40,,,,,,0.05,,,,,,,,2505
Dolokal,,,NL,KLK,KG,,,,,,,,,,,,,5,47,,,,,,,,,,,,,,2506
Dolokal Extra,,,NL,KLK,KG,,,,,,,,,,,,,10,41,,,,,,,,,,,,,,2507
Dolokal Supra,,,NL,KLK,KG,,,,,,,,,,,,,19,30,,,,,,,,,,,,,,2508
Emkal,,,NL,KLK,KG,,,,,,,,,,,,,,53,,,,,,,,,,,,,,2509
Ferkal,,,NL,KLK,KG,,,0.48,,,,,,,,1.43,0.04,1.36,23,0.89,,,0.0001,,,,,,0.0041,,,,2510
Gebluste Poederkalk Eclat,,,NL,KLK,KG,,,,,,,,,,,,,1,72,,,,,,,,,,,,,,2511
Limkal,,,NL,KLK,KG,,,,,,,,,,,,,,50,,,,,,,,,,,,,,2512
Magkal,,,NL,KLK,KG,,,,,,,,,,,,,17,,,,,,,,,,,,,,,2513
Magnesiakalk,,,NL,KLK,KG,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2514
Vitakal,,,NL,KLK,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516
Winterwijkse Kleidolomiet,,,NL,KLK,KG,,,,,,,,,,,,,5,39,,,,,,,,,,,,,,2517
Winterswijk Ultradolomiet,,,NL,KLK,KG,,,,,,,,,,,,,10,27,,,,,,,,,,,,,,2518
Koolzure landbouwkalk,,,NL,KLK,KG,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2519
Kalkmergel,,,NL,KLK,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521
Fosma kencica PK 8+15,,,NL,MAN,KG,,,,,,,,,,,8,16,6,30,,,,,,,,,,,,,,2522
Fosma kencica PK 5+10,,,NL,MAN,KG,,,,,,,,,,,5,18,5,30,,,,,,,,,,,,,,2525
Stima kencica,,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526
Koper kencica,,,NL,MAN,KG,,,,,,,,,,,3,3,8,,,,,0.3,0.02,,,,,,,,,2527
Unika,,,NL,MAN,KG,,,14,,,,,,,,,24,,12,,,,,,,,,,,,,,2528
Miramag,,,NL,KLK,KG,,,,,,,,,,,,,19,,,,,0.0008,,0.002,,,0.044,0.005,,,,2532
Branntkalk,,,NL,KLK,KG,,,,,,,,,,,,,,80,,,,,,,,,,,,,,2533
Copter,,,NL,MAN,LIT,1.49,,9.2,,,,,,,,,,,,,,,20,,,,,,,,,,2534
Foliar extra,,,NL,MAN,LIT,1.24,,12,,,,,,,,8,6,,,,,,,,,,,,,,,,2535
Human 15,,,NL,MAN,LIT,1.36,,,,,,,,,,,,1.2,,9.3,,,,,,,,15,,,,,2536
Boron,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,,,15,,,,,,,,2537
Magnor,,,NL,MAN,LIT,1.35,,5,,,,,,,,,,10,,,,,,,,,,,,,,,2538
Phos plus,,,NL,MAN,LIT,1.36,,,,,,,,,,43,,6,,,,,,,,,,,,,,,2539
Sulpha N,,,NL,MAN,LIT,1.33,,14,,,,,,,,,,,,33,,,,,,,,,,,,,2540
Vercal,,,NL,MAN,LIT,1.28,,,,,,,,,,,,,15,,,,,,,,,,,,,,2541
Zinic,,,NL,MAN,LIT,1.32,,,,,,,,,,,,,,8,,,,,,,,,14,,,,2542
Natriummolybdaat,,,NL,MAN,KG,,,,,,,,,,,0.001,,,,,,,,,,39.8,,,,,,,2543
Molytrac 250,,,NL,MAN,LIT,1.61,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,2545
HydroPlus Molybdeen,,,NL,MAN,LIT,1.38,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,2546
EPSO Microtop,,,NL,MAN,KG,,,,,,,,,,,,,15,,31,,,,,1,,,1,,,,,2548
Masterbietenzout,25-May-11,,NL,MAN,KG,,,,,,,,,,,,,,,,50,,,,0.2,,,,,,,,2552
Entec 20+5+5,24-Feb-12,,NL,MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708
Mangaan-Nitro 7.5%,24-Feb-12,,NL,MAN,LIT,1.4,,7.5,,,,,,,,,,,,,,,,,,,,18,,,,,2903
Duwa-Dolomitique,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,19,31,,,,,,,,,,,,,,3011
Duwa-MAG,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,18,31,,,,,,,,,,,,,,3012
Duwa-Mixte,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,5,48,,,,,,,,,,,,,,3013
Dologran 5,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,5,,,,,,,,,,,,,,,3014
Dologran 15,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,15,,,,,,,,,,,,,,,3015
Natte Kalkslib,24-Feb-12,,NL,KLK,LIT,1.1,,,,,,,,,,,,0.004,5.67,,,,,,,,1.41,0.006,,,,,3016
Lithomagnesium,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,10,30,,,,,,,,,0.001,,,,,3017
Physiomax,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,3,36,,,,,,,,,,,,,,3018
Ankal Wit,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019
Nedcal,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3020
ACS Koper 500,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,50,,,,,,,,,,3021
ACS Zwavel 800,24-Feb-12,,NL,MAN,LIT,1.36,,,,,,,,,,,,,,58.8,,,,,,,,,,,,,3022
Agro-Force,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,0.5,,,,,,,,0.1,,,,,,,,3023
Ammoniumthiosulfaat (ATS),24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,,,,,43,,,,,,,,,,,,,3024
Marathon K,24-Feb-12,,NL,MAN,KG,,,7,,,,,,,,6,14,2,,16,,,,,,,,,,,,,3025
Photrel,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,13.3,,36.3,,,,,5,0.4,,7,,,,,3026
NPK 12+5+17+5MgO,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,5,17,5,,,,,,,,,,,,,,,3027
Marathon N,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,5,8,2,,10,,,,,,,,,,,,,3028
Marathon P,24-Feb-12,,NL,MAN,KG,,,6,,,,,,,,12,8,2,,11,,,,,,,,,,,,,3029
Marathon NK,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,,14,2.5,,16,,,,,,,,,,,,,3031
Phosfik,24-Feb-12,,NL,MAN,LIT,1.38,,3,,,,,,,,27,18,,,,,,0.02,,0.01,0.001,,0.01,0.01,,,,3034
KAS 26+35SO3 (Kalkammonsalpeter),24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,,,,,35,,,,,,,,,,,,,3039
Maïsstarter 20+15 + 0.15B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,15,,,,,,,,,0.15,,,,,,,,3045
Maïsstarter 20+15 + 3MgO,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,15,,3,,,,,,,,,,,,,,,3046
Maïsstarter 20+20 + 0.2B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,20,,,,,,,,,0.2,,,,,,,,3047
NK 9+9+13.5SO3,24-Feb-12,,NL,MAN,KG,,,9,,,,,,,,,9,,,13.5,,,,,,,,,,,,,3049
NP 12+52,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,52,,,,,,,,,,,,,,,,,3050
NP 20+20 + 0.1B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,20,,,,,,,,,0.1,,,,,,,,3051
